,title,date,comments,companies,languages,original_size,repack_size
443,THE BOOK OF UNWRITTEN TALES 2,10/07/2016,4,ENG/GER,"4,6 GB","4,6 GB",2~3 GB (Selective Download)
444,HAND OF FATE,10/07/2016,13,RUS/ENG/MULTI6,"3,8 GB","3,8 GB","1,4 GB"
445,BONETOWN: THE POWER OF DEATH,10/07/2016,2,ENG,"2,4 GB","2,4 GB","1,5 GB"
446,CULTS & DAGGERS,10/07/2016,2,ENG,800 MB,800 MB,418 MB
447,CARMAGEDDON: REINCARNATION – PUBIC BETA V0.9.0.6670,09/07/2016,1,RUS/ENG/MULTI6,13 GB,13 GB,"6,3 GB"
448,"DREADOUT: ACTS 0, 1, 2",09/07/2016,10,ENG/IND,"6,5 GB","6,5 GB","1,4 GB"
449,A.V.,09/07/2016,10,ENG,990 MB,990 MB,597 MB
450,LEX MORTIS,09/07/2016,1,ENG,"2,5 GB","2,5 GB","1,6 GB"
451,HAROLD,09/07/2016,1,ENG/MULTI7,4 GB,4 GB,"1,1 GB"
452,ASTRAY,09/07/2016,9,ENG,"1,5 GB","1,5 GB","1,1 GB"
453,LUCIUS 2 : THE PROPHECY,09/07/2016,9,ENG,"4,8 GB","4,8 GB",2 GB
454,DECAY: THE MARE,09/07/2016,2,RUS/ENG/MULTI10,955 MB,955 MB,262 MB
455,EVOLVE,09/07/2016,46,RUS/ENG/MULTI10,"26,5 GB","26,5 GB","SELECTIVE DOWNLOAD 7,5~20 GB"
456,GRAVITY GHOST,09/07/2016,1,ENG,562 MB,562 MB,392 MB
457,SUPREME LEAGUE OF PATRIOS: FULL SEASON,09/07/2016,2,ENG,"5,5 GB","5,5 GB","4,3 GB"
458,CITIES XXL,09/07/2016,15,RUS/ENG/MULTI7,"5,3 GB","5,3 GB","3,4 GB"
459,CRASHED LANDER: STEAM VERSION,09/07/2016,1,ENG,555 MB,555 MB,411 MB
460,AIR GUARDIANS,09/07/2016,9,ENG,"1,4 GB","1,4 GB",1 GB
461,SICKBRICK – STEAM VERSION,08/07/2016,1,ENG,446 MB,446 MB,252 MB
462,GROW HOME,08/07/2016,7,ENG,615 MB,615 MB,426 MB
463,EXODUS WARS: FRACTURED EMPIRE,08/07/2016,1,ENG,873 MB,873 MB,523 MB
464,RAVEN’S CRY: DIGITAL DELUXE EDITION,08/07/2016,8,ENG/GER,16 GB,16 GB,"6,8~10,2 GB SELECTIVE DOWNLOAD"
465,FAHRENHEIT: INDIGO PROPHECY REMASTERED,08/07/2016,36,RUS/ENG/MULTI5,"9,5 GB","9,5 GB","2,7 GB"
466,HEROES OF MIGHT & MAGIC 3: HD EDITION,08/07/2016,20,RUS/ENG,"1,5 GB","1,5 GB",935 MB
467,GRIM FANDANGO REMASTERED,08/07/2016,14,RUS/ENG/MULTI7,"5,4 GB","5,4 GB","3,5 GB"
468,RESIDENT EVIL HD REMASTER,08/07/2016,298,RUS/ENG/MULTI7,18 GB,18 GB,"3,9~9,5 GB SELECTIVE DOWNLOAD"
469,NICOLAS EYMERICH THE INQUISITOR BOOK II : THE VILLAGE,08/07/2016,1,ENG/MULTI6,"2,4 GB","2,4 GB","1,5 GB"
470,SAINTS ROW: GAT OUT OF HELL (UPDATE 1 INCLUDED),08/07/2016,35,RUS/ENG/MULTI7,5 GB,5 GB,"4,2 GB"
471,GUILD COMMANDER,08/07/2016,1,ENG,817 MB,817 MB,581 MB
472,GUILD COMMANDER,08/07/2016,1,ENG,817 MB,817 MB,581 MB
473,PROJECT NIGHT,08/07/2016,1,ENG,482 MB,482 MB,328 MB
474,THE BUREAU : XCOM DECLASSIFIED – THE COMPLETE EDITION (+ALL DLCS),08/07/2016,44,MULTI8,11 GB,11 GB,5~6.6 GB SELECTIVE DOWNLOAD
475,CITIZENS OF EARTH,08/07/2016,1,ENG/MULTI5,"1,7 GB","1,7 GB",753 MB
476,XCOM: ENEMY UNKNOWN – THE COMPLETE EDITION,08/07/2016,76,RUS/ENG/MULTI10,"17,7 GB","17,7 GB",12 GB
477,BLACKGUARDS 2,08/07/2016,3,ENG/GER,"3,8 GB","3,8 GB","3,3 GB"
478,DOUBLE DRAGON TRILOGY,08/07/2016,9,RUS/ENG/MULTI10,226 MB,226 MB,90 MB
479,TENGAMI,08/07/2016,4,RUS/ENG/MULTI15,420 MB,420 MB,326 MB
480,POLTERGEIST: A PIXELATED HORROR (V1.02),08/07/2016,3,ENG/MULTI6,206 MB,206 MB,108 MB
481,MONTAGUE’S MOUNT (V1.4.0F91),08/07/2016,1,RUS/ENG/MULTI7,601 MB,601 MB,405 MB
482,JAGGED ALLIANCE: FLASHBACK,07/07/2016,4,RUS/ENG/MULTI4,"1,4 GB","1,4 GB",903 MB
483,ZOMBIE DRIVER HD: COMPLETE EDITION,07/07/2016,8,ENG/MULTI6,"1,2 GB","1,2 GB",688 MB
484,DO NOT FALL,07/07/2016,1,ENG/MULTI3,"1,25 GB","1,25 GB",360 MB
485,VERDE STATION,07/07/2016,1,ENG,395 MB,395 MB,272 MB
486,SUNAGE: BATTLE FOR ELYSIUM – REMASTERED,07/07/2016,1,RUS/ENG/MULTI7,754 MB,754 MB,451 MB
487,ROOKS KEEP,07/07/2016,5,ENG,"2,1 GB","2,1 GB",880 MB
488,ONE LATE NIGHT: DEADLINE,07/07/2016,2,ENG,567 MB,567 MB,387 MB
489,FAT CHICKEN,07/07/2016,3,ENG,390 MB,390 MB,243 MB
490,DEAD STATE (V1.0.0.134),07/07/2016,11,ENG,"2,7 GB","2,7 GB",698 MB
491,MOUNT & BLADE: WARBAND – VIKING CONQUEST,07/07/2016,12,ENG/MULTI10,"2,3 GB","2,3 GB","1,5 GB"
492,DUNGEON OF THE ENDLESS,07/07/2016,1,ENG/MULTI3,507 MB,507 MB,278 MB
493,CRUSADER KINGS 2: WAY OF LIFE + 49 DLC,07/07/2016,8,ENG/MULTI4,915 MB,915 MB,564 MB
494,DEAD EFFECT,07/07/2016,7,RUS/ENG/MULTI6,"2,9 GB","2,9 GB","1,05 GB"
495,THE KING OF FIGHTERS ’98: ULTIMATE MATCH – FINAL EDITION,07/07/2016,15,ENG/JAP,462 MB,462 MB,315 MB
496,DEATH CARGO,07/07/2016,8,ENG,3 GB,3 GB,"1,27 GB"
497,PAPER MONSTERS RECUT,07/07/2016,1,ENG,210 MB,210 MB,80 MB
498,FINAL FANTASY XIII-2,07/07/2016,93,ENG/JAP/MULTI8,28 GB,28 GB,"13,38 GB"
499,BLAZBLUE: CONTINUUM SHIFT EXTEND,07/07/2016,28,ENG/MULTI4,"8,7 GB","8,7 GB","5,8 GB"
500,JUJU,07/07/2016,2,RUS/ENG/MULTI8,3 GB,3 GB,"2,24 GB"
501,FLYHUNTER ORIGINS,07/07/2016,1,ENG/MULTI5,"1,9 GB","1,9 GB",484 MB
502,CARGO 3,07/07/2016,4,ENG/MULTI6,"4,6 GB","4,6 GB","3,4 GB"
503,LARA CROFT AND THE TEMPLE OF OSIRIS,07/07/2016,16,RUS/ENG,"3,2 GB","3,2 GB","1,95 GB"
504,DUSTFORCE DX,06/07/2016,3,ENG,270 MB,270 MB,242 MB
505,THE DETAIL: EPISODE 1 – WHERE THE DEAD LIE,06/07/2016,1,ENG,570 MB,570 MB,345 MB
506,MAGICAL BATTLE FESTA,06/07/2016,4,ENG/JAP,560 MB,560 MB,321 MB
507,FROZEN SYNAPSE PRIME,06/07/2016,3,ENG/MULTI6,750 MB,750 MB,296 MB
508,THE OLD CITY: LEVIATHAN,06/07/2016,7,ENG,"2,8 GB","2,8 GB","1,81 GB"
509,HOW TO SURVIVE: STORM WARNING EDITION,06/07/2016,9,RUS/ENG/MULTI7,"3,4 GB","3,4 GB","1,2 GB"
510,MINING INDUSTRY SIMULATOR,06/07/2016,6,MULTI3/ENG,820 MB,820 MB,538 MB
511,MAGNIFICO,06/07/2016,4,MULTI6/RUS/ENG,452 MB,452 MB,259 MB
512,MOTORCYCLE CLUB,06/07/2016,7,MULTI5/Eng,"2,7 GB","2,7 GB",780 MB
513,JOE DEVER’S LONE WOLF HD REMASTERED,06/07/2016,12,ENG,"2,9 GB","2,9 GB","1,2 GB"
514,EMERGENCY 5: DELUXE EDITION,06/07/2016,9,ENG,"17,7 GB","17,7 GB",5 GB
515,GEOMETRY WARS 3: DIMENSIONS (MY FIRST REPACK! :),06/07/2016,202,ENG,250 MB,250 MB,69 MB
